user_id,signup_date,plan_type,country,segment,preferred_genres
1,2026-05-21,free,DE,casual,alternative|sad
2,2026-05-08,free,UK,dormant,club|sad
3,2026-05-22,free,US,churn_risk,malay|british|new-age|idm
4,2026-05-01,free,US,casual,drum-and-bass|dubstep
5,2026-05-18,free,AU,casual,rock|progressive-house
6,2026-05-08,free,US,casual,new-age|forro|spanish
7,2026-05-25,free,CA,power,reggaeton|idm
8,2026-05-09,free,CA,churn_risk,drum-and-bass|sertanejo
9,2026-05-04,free,CA,casual,hardcore|cantopop
10,2026-05-28,premium,US,churn_risk,pagode|emo|spanish
11,2026-05-24,free,UK,power,latino|chill|hardcore
12,2026-05-18,premium,CA,dormant,synth-pop|pop-film|piano
13,2026-05-19,free,US,churn_risk,rock-n-roll|blues
14,2026-05-22,free,UK,casual,show-tunes|funk
15,2026-05-28,premium,AU,casual,trip-hop|cantopop
16,2026-05-09,premium,IN,casual,pop|synth-pop|happy
17,2026-05-12,free,UK,casual,disney|punk-rock|folk
18,2026-05-20,free,IN,casual,dancehall|latino|romance|electro
19,2026-05-15,premium,BR,casual,folk|pop|reggae
20,2026-05-22,premium,US,casual,tango|show-tunes|singer-songwriter
21,2026-05-08,free,AU,casual,spanish|gospel
22,2026-05-09,free,CA,power,drum-and-bass|metalcore
23,2026-05-07,free,IN,casual,j-rock|heavy-metal|power-pop|industrial
24,2026-05-09,free,DE,casual,electro|salsa
25,2026-05-24,free,BR,casual,idm|mpb|hip-hop|happy
26,2026-05-05,free,UK,churn_risk,j-rock|british|samba|black-metal
27,2026-05-05,free,UK,casual,dance|sleep|r-n-b|idm
28,2026-05-13,premium,DE,casual,opera|iranian|latin
29,2026-05-18,free,UK,casual,r-n-b|rockabilly
30,2026-05-22,free,CA,power,samba|folk|show-tunes|power-pop
31,2026-05-04,premium,US,casual,indian|dance|industrial
32,2026-05-31,premium,IN,casual,world-music|rockabilly|emo|jazz
33,2026-05-17,free,DE,power,turkish|pop-film
34,2026-05-27,free,CA,dormant,jazz|pagode|disco|country
35,2026-05-25,free,US,dormant,malay|singer-songwriter
36,2026-05-20,free,CA,churn_risk,j-pop|alt-rock|children
37,2026-05-29,free,UK,casual,edm|bluegrass|world-music
38,2026-05-03,free,IN,power,j-pop|study|blues|sertanejo
39,2026-05-05,free,AU,casual,j-dance|mandopop|dancehall|emo
40,2026-05-31,free,BR,casual,malay|samba
41,2026-05-23,free,CA,power,hip-hop|punk-rock|progressive-house
42,2026-05-15,free,UK,casual,indie|chill|electro|dub
43,2026-05-11,free,BR,power,new-age|mandopop
44,2026-05-19,free,US,dormant,acoustic|brazil
45,2026-05-08,free,CA,casual,ambient|trip-hop
46,2026-05-03,premium,BR,casual,edm|forro|punk-rock|j-pop
47,2026-05-18,free,MX,casual,rockabilly|world-music
48,2026-05-08,premium,UK,casual,spanish|honky-tonk|detroit-techno
49,2026-05-04,premium,MX,casual,indian|guitar|idm|honky-tonk
50,2026-05-28,free,UK,casual,black-metal|punk|progressive-house|power-pop
51,2026-05-02,free,UK,dormant,romance|groove|soul
52,2026-05-08,free,MX,churn_risk,detroit-techno|latino
53,2026-05-05,free,BR,dormant,deep-house|forro|iranian
54,2026-05-28,premium,UK,churn_risk,indie-pop|spanish
55,2026-05-02,free,BR,casual,malay|tango|afrobeat|british
56,2026-05-06,free,AU,dormant,j-pop|j-idol|drum-and-bass
57,2026-05-29,free,US,power,dancehall|hardcore
58,2026-05-13,free,AU,casual,ska|industrial|french
59,2026-05-23,free,MX,power,ska|metal|psych-rock|rock
60,2026-05-05,free,US,casual,funk|drum-and-bass
61,2026-05-19,free,US,casual,malay|bluegrass|salsa|gospel
62,2026-05-02,premium,IN,casual,j-idol|jazz|trance|latin
63,2026-05-02,free,UK,churn_risk,breakbeat|techno|deep-house|blues
64,2026-05-22,free,BR,casual,hip-hop|chill
